Data,Cliente,Telefone,Servico,Barbeiro,Comissao_Pct,Valor,Gorjeta,Comissao_Barbeiro,Status,Forma_Pagamento
2026-04-22 12:30,Luiz Augusto,(61) 99576-6810,Combo Premium (VIP),Marcos,0.45,131,0,58.95,Agendado,
2026-04-22 11:45,Raphael Nunes,(61) 98055-3249,Pezinho,Léo,0.4,18,0,7.2,Agendado,
2026-04-22 09:00,Davi Oliveira,(61) 99955-2134,Barba completa,Léo,0.4,47,0,18.8,Agendado,
2026-04-21 19:30,Igor Moreira,(61) 98822-5813,Corte infantil,Tiago (Dono),0.0,38,0,0.0,Agendado,
2026-04-21 18:45,Robson Lima,(61) 99674-5536,Pezinho,Jr (aprendiz),0.3,16,0,4.8,Agendado,
2026-04-21 16:45,Benjamin Costa,(61) 98149-3976,Barba completa,Léo,0.4,50,0,20.0,Agendado,
2026-04-21 09:45,Rafael Almeida,(61) 98874-3465,Corte masculino,Léo,0.4,42,0,16.8,Agendado,
2026-04-20 19:00,Samuel Freitas,(61) 99089-3592,Corte + Barba,Tiago (Dono),0.0,55,0,0.0,Agendado,
2026-04-20 17:30,Josué Carvalho,(61) 99783-6143,Corte masculino,Tiago (Dono),0.0,39,0,0.0,Agendado,
2026-04-20 16:30,Paulo Henrique,(61) 98522-1379,Pezinho,Léo,0.4,25,0,10.0,Agendado,
2026-04-20 14:45,Samuel Freitas,(61) 98959-4730,Pezinho,Léo,0.4,17,0,6.8,Agendado,
2026-04-20 11:00,Anderson Moraes,(61) 99650-8968,Pigmentação de barba,Jr (aprendiz),0.3,87,0,26.1,Agendado,
2026-04-20 09:30,Breno Santos,(61) 99177-6468,Corte infantil,Léo,0.4,40,0,16.0,Agendado,
2026-04-20 09:00,Nicolas Ramos,(61) 99158-8163,Corte infantil,Tiago (Dono),0.0,36,0,0.0,Agendado,
2026-04-18 20:45,Fernando Castro,(61) 99202-9209,Relaxamento,Léo,0.4,80,0,32.0,Realizado,PIX
2026-04-18 20:45,Cleber Torres,(61) 99759-7295,Sobrancelha,Marcos,0.45,24,10,10.8,Realizado,Cartão Débito
2026-04-18 20:45,Bruno Ferreira,(61) 99200-7144,Pigmentação de barba,Marcos,0.45,91,20,40.95,Realizado,Cartão Crédito
2026-04-18 20:15,Samuel Freitas,(61) 98816-2619,Pezinho,Tiago (Dono),0.0,20,0,0.0,Faltou,PIX
2026-04-18 18:30,Douglas Souza,(61) 98053-4621,Corte masculino,Marcos,0.45,39,0,17.55,Realizado,Cartão Crédito
2026-04-18 18:30,Vitor Araújo,(61) 99948-5909,Barba completa,Jr (aprendiz),0.3,40,0,12.0,Realizado,PIX
2026-04-18 18:30,Murilo Barbosa,(61) 98671-9955,Pezinho,Tiago (Dono),0.0,23,0,0.0,Realizado,Cartão Débito
2026-04-18 18:30,Caio Rodrigues,(61) 99501-2043,Sobrancelha,Marcos,0.45,22,0,9.9,Cancelado,PIX
2026-04-18 18:15,Ricardo Brito,(61) 98551-4747,Corte infantil,Jr (aprendiz),0.3,40,0,12.0,Realizado,Cartão Débito
2026-04-18 18:15,Ricardo Brito,(61) 99745-3587,Barba completa,Jr (aprendiz),0.3,36,0,10.8,Realizado,PIX
2026-04-18 18:00,Anderson Moraes,(61) 99869-1199,Pezinho,Jr (aprendiz),0.3,20,0,6.0,Realizado,Cartão Débito
2026-04-18 17:45,Heitor Almeida,(61) 99809-9803,Pigmentação de barba,Jr (aprendiz),0.3,64,0,19.2,Realizado,Cartão Débito
2026-04-18 16:45,Carlos Silva,(61) 98307-5559,Corte + Barba,Marcos,0.45,71,10,31.95,Realizado,Cartão Crédito
2026-04-18 16:30,Diego Oliveira,(61) 98011-7620,Relaxamento,Jr (aprendiz),0.3,95,0,28.5,Faltou,Cartão Crédito
2026-04-18 16:15,Leonardo Gomes,(61) 99191-8041,Corte infantil,Jr (aprendiz),0.3,31,5,9.3,Realizado,Cartão Débito
2026-04-18 16:15,Alexandre Batista,(61) 98938-9053,Corte + Barba,Tiago (Dono),0.0,71,0,0.0,Cancelado,PIX
2026-04-18 16:15,Benjamin Costa,(61) 99789-3464,Corte + Barba,Jr (aprendiz),0.3,70,0,21.0,Realizado,Dinheiro
2026-04-18 16:00,Luiz Augusto,(61) 98905-2366,Corte masculino,Tiago (Dono),0.0,45,5,0.0,Realizado,PIX
2026-04-18 14:45,Mateus Vieira,(61) 98212-3391,Corte infantil,Jr (aprendiz),0.3,39,0,11.7,Realizado,PIX
2026-04-18 14:45,Vitor Araújo,(61) 99378-5991,Barba completa,Tiago (Dono),0.0,35,0,0.0,Realizado,PIX
2026-04-18 14:30,Marcos Vieira,(61) 98987-3873,Combo Premium (VIP),Marcos,0.45,131,0,58.95,Realizado,Dinheiro
2026-04-18 14:30,Mateus Vieira,(61) 98624-8787,Sobrancelha,Marcos,0.45,29,0,13.05,Realizado,Cartão Débito
2026-04-18 14:00,Raphael Nunes,(61) 99070-5062,Corte infantil,Tiago (Dono),0.0,27,0,0.0,Realizado,PIX
2026-04-18 13:45,Levi Pereira,(61) 99698-6166,Sobrancelha,Marcos,0.45,31,10,13.95,Realizado,PIX
2026-04-18 13:30,Rafael Almeida,(61) 98667-4267,Hidratação capilar,Jr (aprendiz),0.3,53,0,15.9,Cancelado,Cartão Débito
2026-04-18 13:15,Paulo Henrique,(61) 98998-1106,Sobrancelha,Jr (aprendiz),0.3,29,10,8.7,Realizado,Cartão Crédito
2026-04-18 13:15,Rafael Almeida,(61) 98531-6966,Pezinho,Léo,0.4,24,5,9.6,Realizado,PIX
2026-04-18 13:00,Natan Rocha,(61) 98290-4982,Barba completa,Jr (aprendiz),0.3,41,0,12.3,Realizado,Cartão Crédito
2026-04-18 12:45,Lorenzo Fernandes,(61) 99480-8859,Sobrancelha,Tiago (Dono),0.0,23,10,0.0,Realizado,Cartão Débito
2026-04-18 12:30,Paulo Henrique,(61) 99432-5225,Sobrancelha,Léo,0.4,34,0,13.6,Realizado,Dinheiro
2026-04-18 12:30,Erick Campos,(61) 98363-1659,Barba completa,Marcos,0.45,50,15,22.5,Realizado,Cartão Crédito
2026-04-18 12:30,Arthur Pinto,(61) 99899-4445,Sobrancelha,Jr (aprendiz),0.3,30,10,9.0,Realizado,PIX
2026-04-18 11:30,Gabriel Lima,(61) 99190-8819,Pezinho,Marcos,0.45,18,0,8.1,Realizado,PIX
2026-04-18 10:45,Paulo Henrique,(61) 99562-4797,Corte infantil,Marcos,0.45,30,0,13.5,Realizado,PIX
2026-04-18 10:45,Davi Oliveira,(61) 98515-7671,Pezinho,Jr (aprendiz),0.3,24,0,7.2,Realizado,PIX
2026-04-18 10:00,Cesar Ribeiro,(61) 99696-1653,Combo Premium (VIP),Tiago (Dono),0.0,142,15,0.0,Realizado,Cartão Débito
2026-04-18 09:45,Sérgio Lopes,(61) 98427-5193,Barba completa,Léo,0.4,44,10,17.6,Realizado,Cartão Crédito
2026-04-18 09:00,Gabriel Lima,(61) 98582-2819,Hidratação capilar,Léo,0.4,48,0,19.2,Realizado,PIX
2026-04-17 20:15,Cleber Torres,(61) 99981-2287,Pigmentação de barba,Jr (aprendiz),0.3,76,20,22.8,Realizado,Dinheiro
2026-04-17 19:45,Caio Rodrigues,(61) 99084-7048,Hidratação capilar,Marcos,0.45,42,0,18.9,Realizado,Cartão Débito
2026-04-17 19:30,Arthur Pinto,(61) 99013-8600,Corte infantil,Marcos,0.45,37,0,16.65,Realizado,PIX
2026-04-17 19:15,Cleber Torres,(61) 98840-4094,Corte + Barba,Jr (aprendiz),0.3,74,0,22.2,Realizado,Dinheiro
2026-04-17 19:00,Robson Lima,(61) 99499-7697,Pezinho,Tiago (Dono),0.0,17,0,0.0,Realizado,PIX
2026-04-17 18:45,Wagner Dias,(61) 99142-1205,Relaxamento,Jr (aprendiz),0.3,91,0,27.3,Realizado,PIX
2026-04-17 18:30,Murilo Barbosa,(61) 98581-9040,Pigmentação de barba,Tiago (Dono),0.0,86,0,0.0,Realizado,PIX
2026-04-17 17:45,Sérgio Lopes,(61) 99290-2730,Pezinho,Léo,0.4,21,10,8.4,Realizado,PIX
2026-04-17 17:00,Erick Campos,(61) 98014-1529,Relaxamento,Marcos,0.45,91,5,40.95,Realizado,Dinheiro
2026-04-17 16:15,Cleber Torres,(61) 99992-8559,Relaxamento,Marcos,0.45,98,0,44.1,Realizado,PIX
2026-04-17 14:30,Ricardo Brito,(61) 98431-9720,Hidratação capilar,Jr (aprendiz),0.3,66,15,19.8,Realizado,PIX
2026-04-17 13:45,Daniel Freitas,(61) 99562-8602,Barba completa,Léo,0.4,42,10,16.8,Realizado,PIX
2026-04-17 13:30,Enzo Martins,(61) 99197-3731,Hidratação capilar,Jr (aprendiz),0.3,54,20,16.2,Realizado,Dinheiro
2026-04-17 12:45,Nicolas Ramos,(61) 99740-3023,Corte infantil,Jr (aprendiz),0.3,29,0,8.7,Realizado,Cartão Crédito
2026-04-17 12:15,Rafael Almeida,(61) 99491-8547,Hidratação capilar,Tiago (Dono),0.0,47,0,0.0,Realizado,PIX
2026-04-17 11:45,Levi Pereira,(61) 98423-8555,Pezinho,Marcos,0.45,20,5,9.0,Realizado,Cartão Débito
2026-04-17 10:45,Vinícius Ramos,(61) 99570-7571,Pezinho,Léo,0.4,16,10,6.4,Realizado,PIX
2026-04-17 09:45,Caio Rodrigues,(61) 99480-4920,Corte infantil,Marcos,0.45,31,0,13.95,Realizado,PIX
2026-04-17 09:30,Robson Lima,(61) 99949-7066,Pezinho,Jr (aprendiz),0.3,17,0,5.1,Realizado,Dinheiro
2026-04-16 20:45,Henrique Campos,(61) 99296-9084,Barba completa,Tiago (Dono),0.0,32,10,0.0,Realizado,PIX
2026-04-16 18:45,Bruno Ferreira,(61) 99482-2656,Corte + Barba,Léo,0.4,70,20,28.0,Realizado,Cartão Crédito
2026-04-16 17:15,Josué Carvalho,(61) 98562-4042,Corte masculino,Jr (aprendiz),0.3,46,15,13.8,Realizado,PIX
2026-04-16 16:30,Marcelo Costa,(61) 98074-9704,Corte masculino,Tiago (Dono),0.0,54,0,0.0,Realizado,PIX
2026-04-16 15:30,Sérgio Lopes,(61) 99850-9577,Combo Premium (VIP),Marcos,0.45,134,0,60.3,Realizado,PIX
2026-04-16 15:15,Rafael Almeida,(61) 99618-6212,Pigmentação de barba,Léo,0.4,68,20,27.2,Realizado,Cartão Débito
2026-04-16 15:00,Paulo Henrique,(61) 99477-2298,Sobrancelha,Jr (aprendiz),0.3,33,10,9.9,Realizado,PIX
2026-04-16 15:00,Breno Santos,(61) 99260-9422,Pezinho,Léo,0.4,24,0,9.6,Realizado,PIX
2026-04-16 14:30,Felipe Correia,(61) 98099-8614,Corte infantil,Jr (aprendiz),0.3,39,0,11.7,Cancelado,PIX
2026-04-16 13:45,Paulo Henrique,(61) 98854-1287,Sobrancelha,Léo,0.4,20,10,8.0,Realizado,PIX
2026-04-16 13:00,Douglas Souza,(61) 98558-1082,Pigmentação de barba,Léo,0.4,71,0,28.4,Cancelado,Cartão Débito
2026-04-16 13:00,André Nascimento,(61) 99405-7050,Combo Premium (VIP),Léo,0.4,119,20,47.6,Realizado,PIX
2026-04-15 20:15,Nicolas Ramos,(61) 99446-4977,Combo Premium (VIP),Jr (aprendiz),0.3,132,0,39.6,Realizado,Dinheiro
2026-04-15 19:45,Douglas Souza,(61) 98055-4632,Pigmentação de barba,Tiago (Dono),0.0,94,20,0.0,Realizado,Cartão Crédito
2026-04-15 18:15,Eduardo Cardoso,(61) 98633-3317,Hidratação capilar,Tiago (Dono),0.0,65,0,0.0,Realizado,PIX
2026-04-15 18:15,Davi Oliveira,(61) 99250-7523,Pezinho,Léo,0.4,20,5,8.0,Realizado,Cartão Crédito
2026-04-15 17:30,André Nascimento,(61) 98163-3463,Barba completa,Jr (aprendiz),0.3,43,0,12.9,Realizado,Cartão Crédito
2026-04-15 16:00,Sérgio Lopes,(61) 99176-9306,Corte + Barba,Tiago (Dono),0.0,75,10,0.0,Realizado,Cartão Crédito
2026-04-15 15:45,Carlos Silva,(61) 98111-5963,Combo Premium (VIP),Jr (aprendiz),0.3,131,0,39.3,Realizado,Cartão Crédito
2026-04-15 15:30,Samuel Freitas,(61) 99458-6489,Corte + Barba,Léo,0.4,78,0,31.2,Realizado,Cartão Débito
2026-04-15 15:15,Diego Oliveira,(61) 99681-8875,Barba completa,Léo,0.4,39,0,15.6,Realizado,Cartão Crédito
2026-04-15 14:45,João Paulo,(61) 98410-3819,Barba completa,Tiago (Dono),0.0,44,0,0.0,Realizado,Dinheiro
2026-04-15 13:30,Thiago Pereira,(61) 99483-5009,Barba completa,Marcos,0.45,37,0,16.65,Realizado,PIX
2026-04-15 11:30,Carlos Silva,(61) 99406-7456,Combo Premium (VIP),Léo,0.4,100,20,40.0,Realizado,Cartão Crédito
2026-04-15 10:45,Eduardo Cardoso,(61) 98669-5639,Hidratação capilar,Marcos,0.45,64,0,28.8,Realizado,Cartão Débito
2026-04-15 10:15,Eduardo Cardoso,(61) 98190-6563,Combo Premium (VIP),Tiago (Dono),0.0,102,15,0.0,Realizado,PIX
2026-04-15 09:30,Tiago Santos,(61) 99708-2743,Barba completa,Jr (aprendiz),0.3,35,0,10.5,Realizado,PIX
2026-04-14 19:00,Rodrigo Teixeira,(61) 98381-1356,Hidratação capilar,Marcos,0.45,49,0,22.05,Realizado,Cartão Débito
2026-04-14 18:30,Sérgio Lopes,(61) 98789-3551,Corte infantil,Marcos,0.45,39,20,17.55,Realizado,Cartão Crédito
2026-04-14 18:00,Daniel Freitas,(61) 99976-9586,Corte infantil,Léo,0.4,30,0,12.0,Realizado,PIX
2026-04-14 17:15,Josué Carvalho,(61) 99129-5406,Pigmentação de barba,Léo,0.4,82,20,32.8,Realizado,Cartão Crédito
2026-04-14 16:45,Renan Mendes,(61) 99496-7542,Relaxamento,Jr (aprendiz),0.3,114,0,34.2,Cancelado,PIX
2026-04-14 16:15,Igor Moreira,(61) 99348-1554,Relaxamento,Léo,0.4,90,0,36.0,Realizado,Dinheiro
2026-04-14 16:15,Alexandre Batista,(61) 98821-5918,Hidratação capilar,Léo,0.4,59,0,23.6,Realizado,PIX
2026-04-14 14:00,Wagner Dias,(61) 98685-6516,Hidratação capilar,Tiago (Dono),0.0,67,15,0.0,Realizado,Cartão Crédito
2026-04-14 13:30,André Nascimento,(61) 98948-2444,Hidratação capilar,Tiago (Dono),0.0,54,0,0.0,Realizado,PIX
2026-04-14 13:15,Murilo Barbosa,(61) 98558-4264,Hidratação capilar,Marcos,0.45,53,0,23.85,Realizado,PIX
2026-04-14 13:15,Samuel Freitas,(61) 98587-3916,Barba completa,Tiago (Dono),0.0,39,0,0.0,Realizado,Cartão Débito
2026-04-14 11:30,Alexandre Batista,(61) 99003-6818,Combo Premium (VIP),Tiago (Dono),0.0,106,0,0.0,Cancelado,Cartão Débito
2026-04-14 11:00,Vinícius Ramos,(61) 99931-5042,Hidratação capilar,Tiago (Dono),0.0,54,0,0.0,Realizado,Dinheiro
2026-04-14 10:15,Alexandre Batista,(61) 99058-4054,Pezinho,Léo,0.4,22,5,8.8,Realizado,PIX
2026-04-14 10:00,Rodrigo Teixeira,(61) 99977-1329,Corte + Barba,Léo,0.4,61,0,24.4,Realizado,Cartão Débito
2026-04-14 09:15,Enzo Martins,(61) 98551-7565,Corte infantil,Jr (aprendiz),0.3,28,0,8.4,Realizado,Cartão Crédito
2026-04-13 20:45,Douglas Souza,(61) 99791-9938,Combo Premium (VIP),Marcos,0.45,121,0,54.45,Realizado,Cartão Débito
2026-04-13 19:30,Natan Rocha,(61) 98366-1174,Pigmentação de barba,Marcos,0.45,73,0,32.85,Realizado,PIX
2026-04-13 19:00,Caio Rodrigues,(61) 99751-8636,Pigmentação de barba,Marcos,0.45,82,10,36.9,Realizado,Cartão Crédito
2026-04-13 18:30,Pedro Henrique,(61) 99715-2007,Corte masculino,Jr (aprendiz),0.3,47,0,14.1,Faltou,PIX
2026-04-13 18:15,Josué Carvalho,(61) 99724-1052,Corte infantil,Marcos,0.45,38,0,17.1,Realizado,Cartão Crédito
2026-04-13 15:00,Josué Carvalho,(61) 99686-1498,Sobrancelha,Tiago (Dono),0.0,28,0,0.0,Realizado,PIX
2026-04-13 14:45,Levi Pereira,(61) 99213-3497,Sobrancelha,Tiago (Dono),0.0,26,0,0.0,Faltou,PIX
2026-04-13 14:30,Erick Campos,(61) 99604-4798,Relaxamento,Jr (aprendiz),0.3,112,5,33.6,Realizado,PIX
2026-04-13 14:30,Arthur Pinto,(61) 99314-8843,Corte masculino,Léo,0.4,54,10,21.6,Realizado,Dinheiro
2026-04-13 12:45,Otávio Guimarães,(61) 98672-2541,Corte infantil,Tiago (Dono),0.0,31,0,0.0,Realizado,Dinheiro
2026-04-13 12:45,Marcos Vieira,(61) 98649-9694,Pigmentação de barba,Léo,0.4,90,20,36.0,Realizado,Cartão Crédito
2026-04-13 12:30,Wagner Dias,(61) 99196-6009,Corte masculino,Léo,0.4,41,15,16.4,Realizado,PIX
2026-04-13 12:00,Levi Pereira,(61) 98662-2274,Relaxamento,Marcos,0.45,79,5,35.55,Realizado,Dinheiro
2026-04-13 10:45,Bernardo Silva,(61) 98127-6148,Corte + Barba,Jr (aprendiz),0.3,53,0,15.9,Realizado,PIX
2026-04-13 10:30,Lorenzo Fernandes,(61) 99838-3772,Pezinho,Tiago (Dono),0.0,25,10,0.0,Realizado,Cartão Débito
2026-04-13 10:15,Yuri Monteiro,(61) 98091-5514,Corte infantil,Léo,0.4,29,15,11.6,Realizado,Cartão Débito
2026-04-13 10:15,Daniel Freitas,(61) 99003-5104,Sobrancelha,Jr (aprendiz),0.3,24,0,7.2,Realizado,PIX
2026-04-13 10:15,Raphael Nunes,(61) 99202-7274,Barba completa,Tiago (Dono),0.0,38,20,0.0,Realizado,PIX
2026-04-13 10:00,Otávio Guimarães,(61) 98362-3156,Corte masculino,Marcos,0.45,54,0,24.3,Realizado,Cartão Débito
2026-04-13 09:15,Arthur Pinto,(61) 99556-2921,Combo Premium (VIP),Jr (aprendiz),0.3,117,20,35.1,Realizado,Cartão Débito
2026-04-11 20:30,Pedro Henrique,(61) 98339-3318,Hidratação capilar,Léo,0.4,59,0,23.6,Realizado,Cartão Crédito
2026-04-11 20:15,Marcos Vieira,(61) 99562-9955,Corte masculino,Jr (aprendiz),0.3,50,0,15.0,Realizado,PIX
2026-04-11 20:00,Cesar Ribeiro,(61) 98475-8325,Pezinho,Tiago (Dono),0.0,24,0,0.0,Realizado,PIX
2026-04-11 20:00,Daniel Freitas,(61) 99014-3797,Pezinho,Tiago (Dono),0.0,22,15,0.0,Realizado,Cartão Débito
2026-04-11 19:45,Eduardo Cardoso,(61) 98891-5820,Corte infantil,Jr (aprendiz),0.3,38,5,11.4,Realizado,Cartão Débito
2026-04-11 17:45,Luiz Augusto,(61) 99053-2334,Combo Premium (VIP),Marcos,0.45,110,15,49.5,Realizado,PIX
2026-04-11 17:45,Paulo Henrique,(61) 98136-6741,Corte + Barba,Jr (aprendiz),0.3,53,0,15.9,Realizado,PIX
2026-04-11 17:45,Heitor Almeida,(61) 98678-7773,Pezinho,Marcos,0.45,19,0,8.55,Realizado,PIX
2026-04-11 17:15,Gabriel Lima,(61) 99708-3467,Combo Premium (VIP),Jr (aprendiz),0.3,106,10,31.8,Realizado,PIX
2026-04-11 17:00,Anderson Moraes,(61) 98406-3572,Corte masculino,Marcos,0.45,51,0,22.95,Realizado,PIX
2026-04-11 16:45,Douglas Souza,(61) 98440-7701,Pigmentação de barba,Tiago (Dono),0.0,75,20,0.0,Realizado,PIX
2026-04-11 16:15,Levi Pereira,(61) 98020-6205,Hidratação capilar,Marcos,0.45,69,15,31.05,Realizado,PIX
2026-04-11 15:30,Diego Oliveira,(61) 98989-5659,Corte + Barba,Jr (aprendiz),0.3,64,0,19.2,Realizado,PIX
2026-04-11 15:15,Murilo Barbosa,(61) 98225-6401,Barba completa,Marcos,0.45,47,0,21.15,Realizado,Dinheiro
2026-04-11 15:15,Matheus Rocha,(61) 98408-2537,Combo Premium (VIP),Tiago (Dono),0.0,94,10,0.0,Realizado,Cartão Crédito
2026-04-11 14:45,Murilo Barbosa,(61) 98195-3773,Corte + Barba,Léo,0.4,69,5,27.6,Realizado,PIX
2026-04-11 13:30,Igor Moreira,(61) 99180-8723,Pezinho,Léo,0.4,16,0,6.4,Realizado,Dinheiro
2026-04-11 13:15,Erick Campos,(61) 98514-8735,Relaxamento,Léo,0.4,115,0,46.0,Realizado,PIX
2026-04-11 13:00,Raphael Nunes,(61) 98631-8334,Combo Premium (VIP),Marcos,0.45,136,5,61.2,Realizado,PIX
2026-04-11 12:45,Renan Mendes,(61) 99716-8758,Pezinho,Marcos,0.45,16,0,7.2,Realizado,Cartão Crédito
2026-04-11 12:15,Carlos Silva,(61) 99620-8944,Corte masculino,Tiago (Dono),0.0,35,0,0.0,Realizado,PIX
2026-04-11 11:00,Natan Rocha,(61) 98682-6778,Corte masculino,Tiago (Dono),0.0,47,0,0.0,Realizado,Cartão Débito
2026-04-11 10:45,Felipe Correia,(61) 99522-1383,Relaxamento,Léo,0.4,89,0,35.6,Realizado,PIX
2026-04-11 10:45,Josué Carvalho,(61) 98331-9518,Corte + Barba,Marcos,0.45,74,0,33.3,Realizado,Cartão Crédito
2026-04-11 10:00,Arthur Pinto,(61) 99109-3487,Pigmentação de barba,Tiago (Dono),0.0,61,0,0.0,Realizado,Cartão Crédito
2026-04-11 09:30,Samuel Freitas,(61) 99765-2391,Corte + Barba,Jr (aprendiz),0.3,74,10,22.2,Realizado,Cartão Débito
2026-04-11 09:30,Josué Carvalho,(61) 98549-4427,Relaxamento,Jr (aprendiz),0.3,108,0,32.4,Realizado,Dinheiro
2026-04-11 09:30,Alexandre Batista,(61) 98870-7531,Hidratação capilar,Jr (aprendiz),0.3,53,0,15.9,Realizado,PIX
2026-04-11 09:15,Fábio Duarte,(61) 99293-5051,Sobrancelha,Marcos,0.45,20,0,9.0,Faltou,Cartão Débito
2026-04-10 20:45,Fábio Duarte,(61) 99482-9345,Combo Premium (VIP),Marcos,0.45,134,0,60.3,Realizado,PIX
2026-04-10 20:30,André Nascimento,(61) 99211-2765,Hidratação capilar,Léo,0.4,68,0,27.2,Cancelado,Dinheiro
2026-04-10 20:15,Bruno Ferreira,(61) 99292-4845,Pigmentação de barba,Jr (aprendiz),0.3,76,0,22.8,Faltou,PIX
2026-04-10 20:00,Eduardo Cardoso,(61) 99413-3735,Corte masculino,Tiago (Dono),0.0,48,0,0.0,Faltou,PIX
2026-04-10 20:00,Lucas Martins,(61) 99291-8368,Hidratação capilar,Jr (aprendiz),0.3,70,0,21.0,Realizado,Dinheiro
2026-04-10 20:00,Cesar Ribeiro,(61) 98570-2908,Pigmentação de barba,Léo,0.4,91,10,36.4,Realizado,Cartão Crédito
2026-04-10 19:45,André Nascimento,(61) 98711-7522,Barba completa,Léo,0.4,44,0,17.6,Realizado,PIX
2026-04-10 19:45,Vitor Araújo,(61) 98605-2581,Pigmentação de barba,Léo,0.4,98,0,39.2,Realizado,Cartão Crédito
2026-04-10 19:30,Fernando Castro,(61) 99792-5786,Corte infantil,Léo,0.4,30,0,12.0,Realizado,PIX
2026-04-10 19:15,Alexandre Batista,(61) 99502-9138,Combo Premium (VIP),Jr (aprendiz),0.3,99,0,29.7,Realizado,PIX
2026-04-10 19:15,Miguel Santos,(61) 98539-8698,Barba completa,Tiago (Dono),0.0,44,15,0.0,Realizado,Cartão Débito
2026-04-10 19:00,Mateus Vieira,(61) 99909-9540,Hidratação capilar,Tiago (Dono),0.0,68,0,0.0,Realizado,PIX
2026-04-10 18:45,Fábio Duarte,(61) 99952-3346,Hidratação capilar,Léo,0.4,52,0,20.8,Realizado,PIX
2026-04-10 17:15,Carlos Silva,(61) 98756-4328,Combo Premium (VIP),Tiago (Dono),0.0,143,0,0.0,Cancelado,PIX
2026-04-10 14:45,Rodrigo Teixeira,(61) 98698-1791,Corte infantil,Tiago (Dono),0.0,33,15,0.0,Realizado,Cartão Débito
2026-04-10 14:30,André Nascimento,(61) 98303-9096,Corte + Barba,Jr (aprendiz),0.3,76,0,22.8,Realizado,Cartão Débito
2026-04-10 14:15,Bernardo Silva,(61) 98770-4607,Corte infantil,Tiago (Dono),0.0,26,20,0.0,Realizado,Cartão Débito
2026-04-10 14:00,Samuel Freitas,(61) 98565-8429,Pezinho,Léo,0.4,16,10,6.4,Realizado,PIX
2026-04-10 13:45,Natan Rocha,(61) 98604-2795,Combo Premium (VIP),Marcos,0.45,123,0,55.35,Realizado,PIX
2026-04-10 13:30,Vitor Araújo,(61) 99241-2738,Combo Premium (VIP),Marcos,0.45,104,10,46.8,Realizado,PIX
2026-04-10 13:15,Felipe Correia,(61) 99004-4416,Corte + Barba,Marcos,0.45,83,5,37.35,Realizado,Dinheiro
2026-04-10 12:30,Matheus Rocha,(61) 99965-9844,Corte + Barba,Marcos,0.45,63,5,28.35,Realizado,PIX
2026-04-10 12:00,Benjamin Costa,(61) 98666-5053,Sobrancelha,Jr (aprendiz),0.3,33,0,9.9,Cancelado,Dinheiro
2026-04-10 11:15,Davi Oliveira,(61) 99629-5700,Pigmentação de barba,Marcos,0.45,97,0,43.65,Realizado,PIX
